id,Site,predicciones,prediction_score_CT,prediction_score_PCM,prediction_score_PDLC
MP-865,Can Sadurni,CT,"0,72","0,13","0,15"
MP-824,Roca de L'ivet,PDLC,"0,22","0,38","0,4"
MP-795,Can Sadurni,CT,"0,48","0,33","0,19"
MP-797,Can Sadurni,PDLC,"0,19","0,34","0,47"
MP-823,Roca de L'ivet,PDLC,"0,22","0,34","0,44"
MP-825,Roca de L'ivet,PDLC,"0,26","0,26","0,48"
MP-826,Roca de L'ivet,PCM,"0,23","0,47","0,3"
MP-827,Roca de L'ivet,PDLC,"0,15","0,41","0,44"
MP-828,Roca de L'ivet,PDLC,"0,27","0,3","0,43"
MP-830,Roca de L'ivet,PDLC,"0,18","0,35","0,47"
MP-831,Roca de L'ivet,PCM,"0,07","0,54","0,39"
MP-832,Roca de L'ivet,PCM,"0,08","0,52","0,4"
MP-833,Roca de L'ivet,PDLC,"0,14","0,37","0,49"
MP-834,Roca de L'ivet,PDLC,"0,26","0,35","0,39"
MP-853,Roca de L'ivet,PDLC,"0,05","0,29","0,66"
MP-860,Roca de L'ivet,CT,"0,51","0,18","0,31"
MP-862,Roca de L'ivet,PDLC,"0,07","0,45","0,48"
MP-863,Roca de L'ivet,PDLC,"0,08","0,18","0,74"
MP-864,Roca de L'ivet,PDLC,"0,04","0,41","0,55"
MP-699,La serreta,CT,"0,75","0,14","0,11"
MP-753,La serreta,CT,"0,63","0,16","0,21"
MP-754,La serreta,CT,"0,51","0,27","0,22"
MP-755,La serreta,CT,"0,48","0,26","0,26"
MP-756,La serreta,CT,"0,52","0,26","0,22"
MP-757,La serreta,CT,"0,52","0,26","0,22"
MP-758,La serreta,CT,"0,54","0,21","0,25"
MP-759,La serreta,CT,"0,58","0,2","0,22"
MP-698,La serreta,CT,"0,37","0,3","0,33"
MP-348,Can Sadurni,CT,"0,51","0,27","0,22"
MP-782,Can Sadurni,CT,"0,65","0,22","0,13"
MP-783,Can Sadurni,CT,"0,45","0,32","0,23"
MP-784,Can Sadurni,PDLC,"0,27","0,23","0,5"
MP-972,Cova Cassimanya,CT,"0,81","0,1","0,09"
MP-974,Cova Cassimanya,CT,"0,57","0,13","0,3"
MP-975,Cova Cassimanya,CT,"0,74","0,13","0,13"
MP-978,Cova Cassimanya,PDLC,"0,37","0,16","0,47"
MP-980,Cova Cassimanya,CT,"0,35","0,31","0,34"
