Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9171,0.989,0.9171,0.9174,0.9171,0.8757,0.8758
1,0.9282,0.9904,0.9282,0.9297,0.928,0.8923,0.8931
2,0.9503,0.9941,0.9503,0.9501,0.9499,0.9254,0.9257
3,0.9503,0.9956,0.9503,0.951,0.9501,0.9254,0.926
4,0.9389,0.9942,0.9389,0.9396,0.9389,0.9083,0.9087
5,0.9333,0.9914,0.9333,0.9341,0.9336,0.9,0.9001
6,0.9833,0.9993,0.9833,0.9836,0.9833,0.975,0.9751
7,0.9389,0.9941,0.9389,0.9392,0.9389,0.9083,0.9085
8,0.9444,0.9933,0.9444,0.9457,0.9445,0.9167,0.9172
9,0.95,0.9971,0.95,0.9513,0.9498,0.925,0.9258
Mean,0.9435,0.9938,0.9435,0.9442,0.9434,0.9152,0.9156
Std,0.0167,0.0029,0.0167,0.0166,0.0167,0.0251,0.0251
