feature,mean_shap_value_Terena
Ca,0.10012454595324687
As,0.0833700236099289
V,0.06301976825965071
Ta,0.043218576187244985
Cu,0.03581392720529603
Mo,0.03443392547158688
Sr,0.030775719817339526
K,0.029274683364509318
Ba,0.028437071888361296
Se,0.01773303869891403
Ti,0.017008821434833912
Cr,0.016656802035878413
S,0.013521319850672467
Cl,0.008896977686563496
Rb,0.0076768295538101146
Sb,0.007073671856867457
Fe,0.005890246817871281
Zn,0.005888803236003899
Zr,0.004532441025693088
Al,0.004420720192705357
P,0.003735450227853495
Si,0.0032262267737814916
Ni,0.0032044479517989513
Ag,0.0031491763076192027
Sn,0.002915187550495448
W,0.002520334370743149
Tl,0.0024202201457351855
suma,0.0021624271501322154
Ga,0.0020928998597701735
Mn,0.002084223077916168
In,0.0020185870509843453
Pd,0.0018358320897386474
Sc,0.0017806084121881444
Au,0.0014252552474450177
Ru,0.0014174264868601584
Nb,0.0013843492490300902
Br,0.0013526838368777881
Th,0.0013473241430181217
Hg,0.0013000064946536018
Co,0.0012934958325638663
Te,0.001243773644223
Ge,0.0012288657965046795
Cd,0.0011712232478154375
Y,0.0009299525757479366
Pb,0.0004482134346760229
