Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9724,0.9976,0.9724,0.9723,0.9723,0.9586,0.9586
1,0.9613,0.9962,0.9613,0.9618,0.9614,0.942,0.9421
2,0.989,0.9996,0.989,0.9891,0.9889,0.9834,0.9836
3,0.9834,0.9988,0.9834,0.9834,0.9834,0.9751,0.9751
4,0.9611,0.9965,0.9611,0.9615,0.9612,0.9417,0.9418
5,0.9333,0.9922,0.9333,0.9331,0.9332,0.9,0.9
6,0.9778,0.9989,0.9778,0.9783,0.9779,0.9667,0.9668
7,0.9444,0.9961,0.9444,0.9458,0.9445,0.9167,0.9172
8,0.9389,0.9935,0.9389,0.9394,0.9388,0.9083,0.9086
9,0.9778,0.9982,0.9778,0.9784,0.9778,0.9667,0.967
Mean,0.9639,0.9968,0.9639,0.9643,0.9639,0.9459,0.9461
Std,0.0185,0.0023,0.0185,0.0184,0.0185,0.0277,0.0277
