Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9724,0.9981,0.9724,0.9725,0.9723,0.9586,0.9587
1,0.9558,0.9973,0.9558,0.956,0.9558,0.9337,0.9337
2,0.9834,0.9998,0.9834,0.9839,0.9833,0.9751,0.9754
3,0.9834,0.9989,0.9834,0.9834,0.9834,0.9751,0.9751
4,0.9611,0.9978,0.9611,0.9615,0.9612,0.9417,0.9418
5,0.9333,0.9931,0.9333,0.935,0.9333,0.9,0.9009
6,0.9833,0.9993,0.9833,0.9841,0.9834,0.975,0.9753
7,0.9611,0.9972,0.9611,0.9611,0.9611,0.9417,0.9417
8,0.9389,0.9949,0.9389,0.939,0.9389,0.9083,0.9084
9,0.9778,0.9988,0.9778,0.9784,0.9778,0.9667,0.967
Mean,0.9651,0.9975,0.9651,0.9655,0.965,0.9476,0.9478
Std,0.0174,0.002,0.0174,0.0173,0.0174,0.0261,0.026
