Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9613,0.9972,0.9613,0.962,0.9611,0.942,0.9425
1,0.9503,0.9944,0.9503,0.9515,0.9506,0.9254,0.9257
2,0.989,0.9989,0.989,0.9893,0.9889,0.9834,0.9836
3,0.9779,0.9988,0.9779,0.978,0.9779,0.9668,0.9669
4,0.95,0.9971,0.95,0.9528,0.9505,0.925,0.9259
5,0.9222,0.9939,0.9222,0.9219,0.922,0.8833,0.8834
6,0.9556,0.9983,0.9556,0.9576,0.9556,0.9333,0.9342
7,0.9556,0.9955,0.9556,0.9558,0.9556,0.9333,0.9334
8,0.9333,0.9921,0.9333,0.9345,0.9333,0.9,0.9005
9,0.9722,0.9991,0.9722,0.9731,0.9721,0.9583,0.9589
Mean,0.9567,0.9965,0.9567,0.9577,0.9568,0.9351,0.9355
Std,0.0189,0.0023,0.0189,0.0188,0.0189,0.0284,0.0283
