feature,mean_shap_value
Ca,0.11608149229855248
As,0.06799623648015383
V,0.04218607154924123
Ba,0.03822096868552151
Sr,0.03672169068279875
Ta,0.028327824500644853
Mo,0.028137146847077514
Cr,0.02634915277998388
K,0.02223152383300756
Cu,0.019792069009970808
Se,0.014307018860405786
Ti,0.01417032395864624
Cl,0.00964720718361371
S,0.008603837011142793
Zr,0.007627704800352085
Zn,0.007355033714530822
Sb,0.007014858772772512
Rb,0.005196995711662468
P,0.004952361363330532
Fe,0.0048690364369788405
Sn,0.004639398628339739
Al,0.0032172656141094625
Ni,0.002899003081733073
W,0.0028546910927112097
Co,0.0018269819371014278
Si,0.0017707926563281442
Ag,0.0017429576294695312
Mn,0.0016381199037050203
Sc,0.0015682598443028416
Au,0.0014623360071021158
Th,0.0013843819286185404
Ga,0.001282658085836376
Br,0.0011320250490776643
Ru,0.0010854476060528973
Nb,0.0010673948937087762
Tl,0.0010463051202629335
Te,0.0009777912749831456
In,0.0009744622456819618
Hg,0.000964317987177258
Pd,0.0008234440681624505
Y,0.000797761276504733
Cd,0.0007094600942709847
Ge,0.0006805054406514029
Pb,0.00028701406782005484
