Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9724,0.9977,0.9724,0.9723,0.9723,0.9586,0.9586
1,0.9558,0.9952,0.9558,0.9563,0.9559,0.9337,0.9339
2,0.9779,0.9997,0.9779,0.9786,0.9777,0.9668,0.9674
3,0.9834,0.9986,0.9834,0.9834,0.9834,0.9751,0.9751
4,0.9611,0.9961,0.9611,0.9615,0.9612,0.9417,0.9418
5,0.9333,0.9921,0.9333,0.9333,0.9332,0.9,0.9001
6,0.9722,0.9985,0.9722,0.9732,0.9724,0.9583,0.9586
7,0.9444,0.9962,0.9444,0.9457,0.9444,0.9167,0.9173
8,0.9333,0.9924,0.9333,0.9337,0.9333,0.9,0.9002
9,0.9778,0.9982,0.9778,0.9784,0.9778,0.9667,0.967
Mean,0.9612,0.9965,0.9612,0.9616,0.9612,0.9418,0.942
Std,0.0178,0.0025,0.0178,0.0178,0.0178,0.0267,0.0266
