Site,Samples_analyzed,Gavá,Encinasola,Aliste,Uncertain(%),Samples_for_provenance,Median_entropy,Consensus,Homogeneity
Quiruelas,52,0,8,44,21.15,41,0.52,PDLC,0.98
V_Higueras,274,4,40,230,40.15,164,0.9,PDLC,0.95
Alberite,10,9,0,1,40.0,6,0.58,CT,1.0
Paternanbidea,4,0,0,4,0.0,4,0.51,PDLC,1.0
Can_Gambus,77,72,2,3,7.79,71,0.27,CT,0.99
La_Serreta,59,52,6,1,13.56,51,0.18,CT,1.0
Can_Sandurni,8,5,1,2,50.0,4,0.97,CT,0.75
Cova_Cassinmanya,12,12,0,0,25.0,9,0.7,CT,1.0
Roca_Livet,16,1,4,11,50.0,8,0.97,PDLC,0.88
Auverne,3,0,0,3,0.0,3,0.59,PDLC,1.0
Josseliere,9,0,0,9,0.0,9,0.44,PDLC,1.0
Kervilor,33,0,0,33,0.0,33,0.48,PDLC,1.0
Luffang,9,0,0,9,0.0,9,0.73,PDLC,1.0
Plinchacourt,2,0,0,2,0.0,2,0.57,PDLC,1.0
SaintMichel,3,0,0,3,0.0,3,0.44,PDLC,1.0
