Site,median_CT,median_PCM,median_PDLC,median_entropy,n_samples,mean_entropy,std_entropy
Alberite,0.886,0.082,0.036,0.581,10,0.738,0.594
Auverne,0.048,0.057,0.896,0.587,3,0.587,0.0
Can_Gambus,0.961,0.011,0.019,0.266,77,0.386,0.315
Can_Sandurni,0.607,0.188,0.073,0.968,8,0.887,0.368
Cova_Cassinmanya,0.84,0.028,0.098,0.705,12,0.7,0.435
Josseliere,0.006,0.078,0.917,0.445,9,0.487,0.067
Kervilor,0.006,0.088,0.906,0.482,33,0.474,0.03
La_Serreta,0.977,0.017,0.005,0.177,59,0.349,0.423
Luffang,0.006,0.179,0.815,0.728,9,0.747,0.04
Paternanbidea,0.063,0.026,0.906,0.513,4,0.551,0.409
Plinchacourt,0.006,0.116,0.878,0.569,2,0.569,0.034
Quiruelas,0.011,0.088,0.901,0.521,52,0.599,0.267
Roca_Livet,0.009,0.351,0.559,0.968,16,0.852,0.26
SaintMichel,0.006,0.078,0.917,0.445,3,0.445,0.0
V_Higueras,0.015,0.228,0.742,0.901,274,0.816,0.325
