id,Site,Yac,Prediction,prediction_score_CT,prediction_score_PCM,prediction_score_PDLC,Original_predictions,Confidence,Uncertainty_threshold_predictions,Entropy
PQ01,Quiruelas,PQ,PDLC,0.0113,0.0756,0.9132,PDLC,0.9132,PDLC,0.47445216303602217
PQ02,Quiruelas,PQ,PDLC,0.0138,0.0789,0.9073,PDLC,0.9073,PDLC,0.5016871866286062
PQ04,Quiruelas,PQ,PDLC,0.0111,0.0561,0.9328,PDLC,0.9328,PDLC,0.3988351740613869
PQ07,Quiruelas,PQ,PCM,0.0088,0.5718,0.4194,PCM,0.5718,uncertain,1.0469587401644684
PQ08,Quiruelas,PQ,PDLC,0.0113,0.0828,0.9059,PDLC,0.9059,PDLC,0.49984485481877045
PQ09,Quiruelas,PQ,PDLC,0.0078,0.0355,0.9566,PDLC,0.9566,PDLC,0.28670591650622884
La01,Quiruelas,PQ,PDLC,0.0101,0.0575,0.9323,PDLC,0.9323,PDLC,0.39805748872138574
LAJB09,Quiruelas,PQ,PDLC,0.0123,0.0406,0.9471,PDLC,0.9471,PDLC,0.3399777921971234
PQJB12,Quiruelas,PQ,PDLC,0.0126,0.0221,0.9654,PDLC,0.9654,PDLC,0.2502200449129679
LAJB14,Quiruelas,PQ,PDLC,0.0096,0.0245,0.9659,PDLC,0.9659,PDLC,0.24379513320425233
PQJB13,Quiruelas,PQ,PDLC,0.0103,0.0238,0.9659,PDLC,0.9659,PDLC,0.24469078452002221
LA01,Quiruelas,PQ,PDLC,0.0097,0.1004,0.8899,PDLC,0.8899,PDLC,0.5475717100648088
LA02,Quiruelas,PQ,PDLC,0.0445,0.0415,0.914,PDLC,0.914,PDLC,0.5088999860601092
LA03,Quiruelas,PQ,PDLC,0.0111,0.1103,0.8786,PDLC,0.8786,PDLC,0.5869378170913334
LA04-1,Quiruelas,PQ,PDLC,0.0079,0.0579,0.9342,PDLC,0.9342,PDLC,0.384894325609933
LA04-2,Quiruelas,PQ,PDLC,0.0119,0.1204,0.8677,PDLC,0.8677,PDLC,0.6214339604679283
LA04-3,Quiruelas,PQ,PDLC,0.0106,0.1082,0.8812,PDLC,0.8812,PDLC,0.5774465384485999
LA05,Quiruelas,PQ,PCM,0.0121,0.5832,0.4048,PCM,0.5832,uncertain,1.0589447063033488
LA06,Quiruelas,PQ,PDLC,0.0107,0.0439,0.9454,PDLC,0.9454,PDLC,0.34459826700468743
LA07,Quiruelas,PQ,PDLC,0.0087,0.308,0.6832,PDLC,0.6832,uncertain,0.9582928273579169
LA08,Quiruelas,PQ,PCM,0.0071,0.5715,0.4215,PCM,0.5715,uncertain,1.0373760622852035
LA09,Quiruelas,PQ,PDLC,0.0127,0.136,0.8513,PDLC,0.8513,PDLC,0.6691727013923182
LA11,Quiruelas,PQ,PDLC,0.0201,0.0657,0.9142,PDLC,0.9142,PDLC,0.48967822492876717
LA12,Quiruelas,PQ,PCM,0.009,0.6858,0.3052,PCM,0.6858,uncertain,0.9568893163765256
LA13,Quiruelas,PQ,PCM,0.0073,0.7113,0.2814,PCM,0.7113,PCM,0.9161637858979543
LA14,Quiruelas,PQ,PCM,0.0079,0.5489,0.4432,PCM,0.5489,uncertain,1.0504863508462154
LA15,Quiruelas,PQ,PDLC,0.01,0.1149,0.8751,PDLC,0.8751,PDLC,0.5935440060715848
LA16,Quiruelas,PQ,PDLC,0.0091,0.0701,0.9208,PDLC,0.9208,PDLC,0.44010389050333887
LA17,Quiruelas,PQ,PDLC,0.0118,0.0718,0.9164,PDLC,0.9164,PDLC,0.46383181557408043
LA18,Quiruelas,PQ,PDLC,0.0128,0.1421,0.8451,PDLC,0.8451,PDLC,0.6856926556719474
LA19,Quiruelas,PQ,PDLC,0.0114,0.0721,0.9165,PDLC,0.9165,PDLC,0.4624115403836352
PQLR01,Quiruelas,PQ,PDLC,0.0164,0.0835,0.9002,PDLC,0.9002,PDLC,0.5329939004773921
PQLR02,Quiruelas,PQ,PDLC,0.0107,0.1258,0.8636,PDLC,0.8636,PDLC,0.6290757591486705
PQLR03,Quiruelas,PQ,PDLC,0.0133,0.0401,0.9466,PDLC,0.9466,PDLC,0.3439108271579063
PQLR04,Quiruelas,PQ,PDLC,0.0086,0.0487,0.9427,PDLC,0.9427,PDLC,0.35158870978636764
PQLR05,Quiruelas,PQ,PDLC,0.0089,0.0636,0.9274,PDLC,0.9274,PDLC,0.41416502608330846
PQLR06,Quiruelas,PQ,PDLC,0.0098,0.0987,0.8915,PDLC,0.8915,PDLC,0.5428485617285075
PQLR07,Quiruelas,PQ,PDLC,0.01,0.1825,0.8075,PDLC,0.8075,PDLC,0.7633854963637772
PQLR08,Quiruelas,PQ,PDLC,0.0092,0.0884,0.9024,PDLC,0.9024,PDLC,0.505313882898851
PQLR10,Quiruelas,PQ,PDLC,0.0125,0.1264,0.8611,PDLC,0.8611,PDLC,0.641973065100873
PQLR11,Quiruelas,PQ,PDLC,0.0111,0.0375,0.9515,PDLC,0.9515,PDLC,0.3180700739139217
PQLR12,Quiruelas,PQ,PDLC,0.0068,0.4498,0.5434,PDLC,0.5434,uncertain,1.0455661750074638
PQLR13,Quiruelas,PQ,PDLC,0.0132,0.193,0.7938,PDLC,0.7938,PDLC,0.8049204401194501
PQLR14,Quiruelas,PQ,PDLC,0.01,0.3291,0.6609,PDLC,0.6609,uncertain,0.9890033545297531
PQLR15,Quiruelas,PQ,PDLC,0.0104,0.1847,0.8049,PDLC,0.8049,PDLC,0.7706034071930737
PQLR16,Quiruelas,PQ,PDLC,0.0115,0.3756,0.6129,PDLC,0.6129,uncertain,1.0375841318482397
