Site,C14-BP,C14-SD
Pico Centeno Mine 2,5950,40
Pico Centeno Mine 2,2215,35
Pico Centeno Mine 2,1010,35
Pico Centeno Mine 2,585,35
Pico Centeno Mine 2,6205,40
Plinchacourt,6130,50
Paternanbidea,6230,45
Paternanbidea,6221,34
Paternanbidea,6198,34
Paternanbidea,5960,40
Paternanbidea,6090,40
Cova de Can Sadurni,4090,30
Cova de Can Sadurni,4130,110
Cova de Can Sadurni,4160,160
Cova de Can Sadurni,5075,40
Cova de Can Sadurni,4425,50
Cova de Can Sadurni,5075,40
Cova de Can Sadurni,5250,30
Cova de Can Sadurni,5260,40
Cova de Can Sadurni,5280,30
Cova de Can Sadurni,5290,30
Cova de Can Sadurni,5540,40
Cova de Can Sadurni,5540,40
Cova de Can Sadurni,5552,26
Cova de Can Sadurni,5570,40
Cova de Can Sadurni,5610,25
Cova de Can Sadurni,5620,50
Cova de Can Sadurni,5635,45
Cova de Can Sadurni,5654,31
Cova de Can Sadurni,5680,30
Cova de Can Sadurni,5690,35
Cova de Can Sadurni,5738,32
Cova de Can Sadurni,5746,31
Cova de Can Sadurni,5748,30
Cova de Can Sadurni,5842,24
Cova de Can Sadurni,5870,30
Cova de Can Sadurni,5960,30
Cova de Can Sadurni,5870,30
Cova de Can Sadurni,5980,40
Cova de Can Sadurni,6110,30
Cova de Can Sadurni,6050,30
Cova de Can Sadurni,6160,30
Cova de Can Sadurni,6170,30
The Gava Mines,5190,40
The Gava Mines,5160,40
The Gava Mines,5160,40
The Gava Mines,5110,40
The Gava Mines,5090,40
The Gava Mines,5090,60
The Gava Mines,5080,40
The Gava Mines,5030,40
The Gava Mines,5029,33
The Gava Mines,5010,60
The Gava Mines,5010,40
The Gava Mines,5000,40
The Gava Mines,4940,50
The Gava Mines,4940,40
The Gava Mines,4930,60
The Gava Mines,4810,60
The Gava Mines,4710,50
The Gava Mines,4658,33
The Gava Mines,4478,31
Dolmen de Alberite,5110,140
Dolmen de Alberite,5020,70
Dolmen de Alberite,5320,70
La Serreta,5200,40
La Serreta,5240,40
Can Gambus I,4850,80
Can Gambus I,4865,40
Can Gambus I,4980,40
Can Gambus I,5138,30
Cova Cassimanya,3800,30
Cova Cassimanya,3950,30
Valle de las Higueras,3890,40
Valle de las Higueras,3860,40
Valle de las Higueras,3830,40
Valle de las Higueras,3810,40
Valle de las Higueras,3650,40
Valle de las Higueras,3330,40
Valle de las Higueras,3790,40
Valle de las Higueras,3970,40
Valle de las Higueras,3940,40
Valle de las Higueras,4180,40
Penas Quiruelas,4039,33
Penas Quiruelas,4075,33
Penas Quiruelas,4107,33
