Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9509,0.9972,0.9509,0.951,0.9508,0.9264,0.9265
1,0.9571,0.9963,0.9571,0.9577,0.9572,0.9356,0.9358
2,0.9755,0.9984,0.9755,0.9756,0.9755,0.9632,0.9632
3,0.9571,0.9949,0.9571,0.9582,0.9573,0.9356,0.936
4,0.9753,0.9975,0.9753,0.9757,0.9753,0.963,0.9632
5,0.9753,0.9985,0.9753,0.9764,0.9751,0.963,0.9637
6,0.9568,0.9941,0.9568,0.9568,0.9567,0.9352,0.9352
7,0.9691,0.9947,0.9691,0.9693,0.9691,0.9537,0.9539
8,0.9877,0.9987,0.9877,0.9878,0.9877,0.9815,0.9815
9,0.9321,0.9928,0.9321,0.9335,0.9324,0.8981,0.8985
Mean,0.9637,0.9963,0.9637,0.9642,0.9637,0.9455,0.9458
Std,0.0152,0.002,0.0152,0.015,0.0151,0.0228,0.0228
