Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9632,0.9969,0.9632,0.9638,0.963,0.9448,0.9453
1,0.9693,0.996,0.9693,0.9694,0.9693,0.954,0.954
2,0.9755,0.998,0.9755,0.9756,0.9755,0.9632,0.9632
3,0.9571,0.9947,0.9571,0.9584,0.9574,0.9356,0.936
4,0.9815,0.9975,0.9815,0.9816,0.9815,0.9722,0.9723
5,0.9815,0.9992,0.9815,0.982,0.9814,0.9722,0.9726
6,0.963,0.9957,0.963,0.9633,0.963,0.9444,0.9446
7,0.9691,0.9943,0.9691,0.9693,0.9691,0.9537,0.9539
8,0.9877,0.9986,0.9877,0.9878,0.9877,0.9815,0.9815
9,0.9321,0.9929,0.9321,0.9335,0.9324,0.8981,0.8985
Mean,0.968,0.9964,0.968,0.9685,0.968,0.952,0.9522
Std,0.0151,0.0019,0.0151,0.0147,0.0149,0.0226,0.0225
