Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9571,0.9975,0.9571,0.958,0.957,0.9356,0.9361
1,0.9693,0.9975,0.9693,0.9693,0.9693,0.954,0.954
2,0.9816,0.9995,0.9816,0.9819,0.9816,0.9724,0.9726
3,0.9693,0.9964,0.9693,0.9704,0.9695,0.954,0.9544
4,0.9877,0.999,0.9877,0.9881,0.9877,0.9815,0.9817
5,0.9815,0.9993,0.9815,0.982,0.9814,0.9722,0.9726
6,0.9506,0.9959,0.9506,0.9506,0.9506,0.9259,0.9259
7,0.963,0.9967,0.963,0.9636,0.9629,0.9444,0.9448
8,0.9815,0.9989,0.9815,0.9815,0.9815,0.9722,0.9722
9,0.9444,0.9935,0.9444,0.9448,0.9446,0.9167,0.9167
Mean,0.9686,0.9974,0.9686,0.969,0.9686,0.9529,0.9531
Std,0.0139,0.0018,0.0139,0.0139,0.0139,0.0209,0.0209
