Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9509,0.9976,0.9509,0.9519,0.9509,0.9264,0.9269
1,0.9632,0.9969,0.9632,0.9632,0.9631,0.9448,0.9448
2,0.9693,0.9989,0.9693,0.9694,0.9693,0.954,0.954
3,0.9571,0.9963,0.9571,0.9582,0.9573,0.9356,0.936
4,0.9877,0.9985,0.9877,0.9881,0.9877,0.9815,0.9817
5,0.9753,0.999,0.9753,0.9763,0.9753,0.963,0.9635
6,0.9568,0.9951,0.9568,0.9568,0.9567,0.9352,0.9352
7,0.963,0.9964,0.963,0.9636,0.9629,0.9444,0.9448
8,0.9815,0.9988,0.9815,0.9815,0.9815,0.9722,0.9722
9,0.9444,0.9931,0.9444,0.9448,0.9446,0.9167,0.9167
Mean,0.9649,0.9971,0.9649,0.9654,0.9649,0.9474,0.9476
Std,0.0129,0.0018,0.0129,0.0129,0.0129,0.0194,0.0194
