Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9509,0.9958,0.9509,0.9527,0.9511,0.9264,0.927
1,0.9571,0.9952,0.9571,0.9571,0.9571,0.9356,0.9356
2,0.9693,0.9986,0.9693,0.9694,0.9692,0.954,0.9541
3,0.9448,0.9956,0.9448,0.946,0.9449,0.9172,0.9176
4,0.9877,0.997,0.9877,0.9877,0.9877,0.9815,0.9815
5,0.963,0.9975,0.963,0.9642,0.9629,0.9444,0.9451
6,0.9506,0.9935,0.9506,0.9506,0.9506,0.9259,0.9259
7,0.963,0.9965,0.963,0.9633,0.9628,0.9444,0.9448
8,0.963,0.9973,0.963,0.9635,0.9628,0.9444,0.9448
9,0.9321,0.9938,0.9321,0.9321,0.9321,0.8981,0.8981
Mean,0.9581,0.9961,0.9581,0.9587,0.9581,0.9372,0.9375
Std,0.0143,0.0015,0.0143,0.0141,0.0142,0.0214,0.0214
