Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9571,0.9966,0.9571,0.9583,0.9573,0.9356,0.936
1,0.9632,0.9957,0.9632,0.9632,0.9631,0.9448,0.9448
2,0.9693,0.9985,0.9693,0.9696,0.9691,0.954,0.9544
3,0.9448,0.9952,0.9448,0.946,0.9449,0.9172,0.9176
4,0.9815,0.9972,0.9815,0.9815,0.9814,0.9722,0.9723
5,0.963,0.9976,0.963,0.9642,0.9629,0.9444,0.9451
6,0.9506,0.9952,0.9506,0.9506,0.9506,0.9259,0.9259
7,0.9568,0.9963,0.9568,0.9572,0.9566,0.9352,0.9356
8,0.9691,0.9976,0.9691,0.9696,0.9691,0.9537,0.9539
9,0.9321,0.9935,0.9321,0.9321,0.9321,0.8981,0.8981
Mean,0.9587,0.9963,0.9587,0.9592,0.9587,0.9381,0.9384
Std,0.0132,0.0014,0.0132,0.0132,0.0132,0.0199,0.0199
