Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9755,0.9965,0.9755,0.9761,0.9754,0.9632,0.9636
1,0.9387,0.9926,0.9387,0.9394,0.9384,0.908,0.9086
2,0.9387,0.9936,0.9387,0.9386,0.9386,0.908,0.908
3,0.9141,0.9912,0.9141,0.9216,0.9148,0.8712,0.874
4,0.963,0.9974,0.963,0.9643,0.9631,0.9444,0.9449
5,0.9691,0.9945,0.9691,0.97,0.9692,0.9537,0.9541
6,0.9198,0.9919,0.9198,0.9205,0.9195,0.8796,0.8802
7,0.9568,0.9935,0.9568,0.957,0.9568,0.9352,0.9352
8,0.9506,0.9967,0.9506,0.9506,0.9506,0.9259,0.926
9,0.8889,0.9843,0.8889,0.8892,0.8889,0.8333,0.8335
Mean,0.9415,0.9932,0.9415,0.9427,0.9415,0.9123,0.9128
Std,0.0259,0.0036,0.0259,0.0254,0.0259,0.0388,0.0386
