Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9755,0.9954,0.9755,0.9761,0.9754,0.9632,0.9636
1,0.9387,0.992,0.9387,0.939,0.9386,0.908,0.9082
2,0.9325,0.9931,0.9325,0.9331,0.9326,0.8988,0.899
3,0.9202,0.9912,0.9202,0.9262,0.9209,0.8804,0.8825
4,0.9506,0.9963,0.9506,0.9519,0.9509,0.9259,0.9263
5,0.9691,0.9937,0.9691,0.97,0.9692,0.9537,0.9541
6,0.9259,0.993,0.9259,0.9259,0.9257,0.8889,0.8891
7,0.9383,0.9923,0.9383,0.9384,0.9383,0.9074,0.9075
8,0.9444,0.9967,0.9444,0.9447,0.9444,0.9167,0.9168
9,0.8642,0.9821,0.8642,0.8656,0.8643,0.7963,0.7969
Mean,0.9359,0.9926,0.9359,0.9371,0.936,0.9039,0.9044
Std,0.0291,0.0039,0.0291,0.0288,0.0291,0.0437,0.0435
