feature,mean_shap_value
Ca,0.11330488504895699
As,0.06619852864359604
V,0.04240579692901491
Ba,0.039347466817929076
Sr,0.03616557816851775
Cr,0.030190012105424668
Mo,0.026058342033854265
Ta,0.023359141702455292
K,0.02232789259069899
Cu,0.020089350692262108
Ti,0.01486849170528322
Se,0.012149962930504538
S,0.010393910874254564
Sb,0.008143036125719988
Cl,0.007843335540091867
Zr,0.007508472669817292
Sn,0.006563252097221743
Zn,0.005868489907407285
Fe,0.004717758812666322
Rb,0.004555428147384575
P,0.003980498020706161
Al,0.003951119706776739
Ni,0.0034535423935601723
W,0.003179852833702517
Si,0.0028616709010063153
Ag,0.002169050197948436
Te,0.0017018799304932516
Tl,0.001628809740129151
Th,0.0014525539268869945
Mn,0.0013624285969254673
Br,0.0013499438750683426
Sc,0.0012390972494280784
Nb,0.0011208738274406617
Co,0.0010998625199410289
Hg,0.0010687155266742448
Cd,0.0010390613388541728
Au,0.0009762457185908468
Ru,0.0009419752415172081
Pd,0.0009041245188102116
Ga,0.000812138467075554
In,0.0007344350966483102
Ge,0.0007059556690471881
Y,0.0007010613467715404
Pb,0.00037032002079241504
