Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9724,0.9979,0.9724,0.9725,0.9723,0.9586,0.9587
1,0.9503,0.997,0.9503,0.9505,0.9503,0.9254,0.9255
2,0.9779,0.9999,0.9779,0.9786,0.9779,0.9669,0.9672
3,0.9779,0.9989,0.9779,0.978,0.9779,0.9668,0.9669
4,0.9611,0.9973,0.9611,0.9615,0.9612,0.9417,0.9418
5,0.9278,0.9929,0.9278,0.9275,0.9275,0.8917,0.8918
6,0.9667,0.9991,0.9667,0.9677,0.9668,0.95,0.9504
7,0.95,0.9968,0.95,0.9501,0.95,0.925,0.925
8,0.9389,0.9941,0.9389,0.939,0.9389,0.9083,0.9084
9,0.9833,0.9988,0.9833,0.9836,0.9833,0.975,0.9751
Mean,0.9606,0.9973,0.9606,0.9609,0.9606,0.9409,0.9411
Std,0.0175,0.0021,0.0175,0.0177,0.0175,0.0262,0.0263
