Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9558,0.9969,0.9558,0.957,0.9555,0.9337,0.9345
1,0.9448,0.9954,0.9448,0.9451,0.9447,0.9171,0.9173
2,0.9834,0.999,0.9834,0.9842,0.9834,0.9751,0.9755
3,0.9724,0.9989,0.9724,0.9725,0.9724,0.9586,0.9586
4,0.95,0.9977,0.95,0.9528,0.9505,0.925,0.9259
5,0.9222,0.9938,0.9222,0.9219,0.922,0.8833,0.8834
6,0.9556,0.9983,0.9556,0.9571,0.9554,0.9333,0.9342
7,0.9556,0.9957,0.9556,0.9558,0.9556,0.9333,0.9334
8,0.9389,0.9919,0.9389,0.9406,0.9385,0.9083,0.9095
9,0.9833,0.9988,0.9833,0.9837,0.9833,0.975,0.9752
Mean,0.9562,0.9966,0.9562,0.9571,0.9562,0.9343,0.9348
Std,0.0183,0.0023,0.0183,0.0183,0.0184,0.0275,0.0274
