Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.9061,0.9879,0.9061,0.9061,0.906,0.8591,0.8592
1,0.9171,0.99,0.9171,0.9197,0.9167,0.8757,0.8772
2,0.9448,0.9928,0.9448,0.9447,0.9443,0.9171,0.9175
3,0.9503,0.9946,0.9503,0.951,0.9501,0.9254,0.926
4,0.9278,0.9927,0.9278,0.9288,0.9277,0.8917,0.8922
5,0.9333,0.9916,0.9333,0.9341,0.9336,0.9,0.9001
6,0.9778,0.9994,0.9778,0.978,0.9778,0.9667,0.9667
7,0.9222,0.9927,0.9222,0.9232,0.9222,0.8833,0.8839
8,0.9444,0.9919,0.9444,0.9463,0.9445,0.9167,0.9176
9,0.9556,0.9966,0.9556,0.9567,0.9556,0.9333,0.9339
Mean,0.9379,0.993,0.9379,0.9389,0.9379,0.9069,0.9074
Std,0.0199,0.0031,0.0199,0.0197,0.0199,0.0298,0.0297
