Site,Samples_analyzed,Gavá,Encinasola,Aliste,Uncertain(%),Samples_for_provenance,Median_entropy,Consensus,Homogeneity
Quiruelas,52,0,5,47,25.0,39,0.62,PDLC,1.0
V_Higueras,274,2,34,238,41.97,159,0.84,PDLC,0.98
Alberite,10,9,0,1,40.0,6,0.58,CT,1.0
Paternanbidea,4,0,0,4,25.0,3,0.51,PDLC,1.0
Can_Gambus,77,72,2,3,9.09,70,0.27,CT,0.99
La_Serreta,59,52,6,1,13.56,51,0.18,CT,1.0
Can_Sandurni,8,5,1,2,62.5,3,0.97,CT,0.67
Cova_Cassinmanya,12,12,0,0,41.67,7,0.7,CT,1.0
Roca_Livet,16,1,4,11,56.25,7,0.97,PDLC,0.86
Auverne,3,0,0,3,0.0,3,0.38,PDLC,1.0
Josseliere,9,0,0,9,0.0,9,0.36,PDLC,1.0
Kervilor,33,0,0,33,0.0,33,0.39,PDLC,1.0
Luffang,9,0,0,9,0.0,9,0.51,PDLC,1.0
Plinchacourt,2,0,0,2,0.0,2,0.42,PDLC,1.0
SaintMichel,3,0,0,3,0.0,3,0.36,PDLC,1.0
