id,Site,Yac,Prediction,prediction_score_CT,prediction_score_PCM,prediction_score_PDLC,Original_predictions,Confidence,Uncertainty_threshold_predictions,Entropy
PQ01,Quiruelas,PQ,PDLC,0.0098,0.0933,0.8969,PDLC,0.8969,PDLC,0.5254622935791021
PQ02,Quiruelas,PQ,PDLC,0.0138,0.0879,0.8983,PDLC,0.8983,PDLC,0.5326200228038898
PQ04,Quiruelas,PQ,PDLC,0.0124,0.0876,0.9,PDLC,0.9,PDLC,0.5230706413856299
PQ07,Quiruelas,PQ,PDLC,0.0085,0.398,0.5935,PDLC,0.5935,uncertain,1.0341868971776154
PQ08,Quiruelas,PQ,PDLC,0.0111,0.0809,0.908,PDLC,0.908,PDLC,0.49198395911750226
PQ09,Quiruelas,PQ,PDLC,0.0068,0.0561,0.9372,PDLC,0.9372,PDLC,0.3699073448970521
La01,Quiruelas,PQ,PDLC,0.0087,0.1218,0.8695,PDLC,0.8695,PDLC,0.6049212373819349
LAJB09,Quiruelas,PQ,PDLC,0.014,0.0639,0.9221,PDLC,0.9221,PDLC,0.4476659817906457
PQJB12,Quiruelas,PQ,PDLC,0.0133,0.0314,0.9553,PDLC,0.9553,PDLC,0.3026995776421972
LAJB14,Quiruelas,PQ,PDLC,0.0084,0.0412,0.9505,PDLC,0.9505,PDLC,0.31721981603694754
PQJB13,Quiruelas,PQ,PDLC,0.0095,0.0297,0.9608,PDLC,0.9608,PDLC,0.2699298387565494
LA01,Quiruelas,PQ,PDLC,0.0088,0.1581,0.8331,PDLC,0.8331,PDLC,0.7002778598755071
LA02,Quiruelas,PQ,PDLC,0.0379,0.0436,0.9185,PDLC,0.9185,PDLC,0.4886548054326743
LA03,Quiruelas,PQ,PDLC,0.012,0.1185,0.8695,PDLC,0.8695,PDLC,0.6166139517109119
LA04-1,Quiruelas,PQ,PDLC,0.007,0.0895,0.9034,PDLC,0.9034,PDLC,0.4940555080272874
LA04-2,Quiruelas,PQ,PDLC,0.0119,0.1686,0.8195,PDLC,0.8195,PDLC,0.7444422052030499
LA04-3,Quiruelas,PQ,PDLC,0.0107,0.1097,0.8797,PDLC,0.8797,PDLC,0.5825654690717461
LA05,Quiruelas,PQ,PCM,0.0137,0.6158,0.3705,PCM,0.6158,uncertain,1.0462543346086126
LA06,Quiruelas,PQ,PDLC,0.0095,0.069,0.9215,PDLC,0.9215,PDLC,0.43865589805297717
LA07,Quiruelas,PQ,PDLC,0.0086,0.1888,0.8026,PDLC,0.8026,PDLC,0.7677079321694715
LA08,Quiruelas,PQ,PDLC,0.0064,0.4598,0.5339,PDLC,0.5339,uncertain,1.0454517833526908
LA09,Quiruelas,PQ,PDLC,0.0136,0.1941,0.7923,PDLC,0.7923,PDLC,0.8095134822001628
LA11,Quiruelas,PQ,PDLC,0.0208,0.0621,0.9172,PDLC,0.9172,PDLC,0.47965407398099946
LA12,Quiruelas,PQ,PCM,0.0097,0.6011,0.3893,PCM,0.6011,uncertain,1.0361690261598344
LA13,Quiruelas,PQ,PCM,0.0063,0.6259,0.3679,PCM,0.6259,uncertain,0.9999436968702601
LA14,Quiruelas,PQ,PCM,0.0075,0.5848,0.4077,PCM,0.5848,uncertain,1.0333030944028643
LA15,Quiruelas,PQ,PDLC,0.0089,0.1926,0.7985,PDLC,0.7985,PDLC,0.7775275163547701
LA16,Quiruelas,PQ,PDLC,0.009,0.1089,0.8821,PDLC,0.8821,PDLC,0.5691732150374568
LA17,Quiruelas,PQ,PDLC,0.0119,0.1238,0.8643,PDLC,0.8643,PDLC,0.6310435488083878
LA18,Quiruelas,PQ,PDLC,0.0138,0.2554,0.7309,PDLC,0.7309,uncertain,0.9188035912448633
LA19,Quiruelas,PQ,PDLC,0.0095,0.1467,0.8437,PDLC,0.8437,PDLC,0.676837595977776
PQLR01,Quiruelas,PQ,PDLC,0.0175,0.118,0.8645,PDLC,0.8645,PDLC,0.6475481502171002
PQLR02,Quiruelas,PQ,PDLC,0.0096,0.1432,0.8473,PDLC,0.8473,PDLC,0.6684933125103626
PQLR03,Quiruelas,PQ,PDLC,0.0128,0.0678,0.9194,PDLC,0.9194,PDLC,0.4551848797678359
PQLR04,Quiruelas,PQ,PDLC,0.0083,0.0629,0.9288,PDLC,0.9288,PDLC,0.40736930667982457
PQLR05,Quiruelas,PQ,PDLC,0.0082,0.1057,0.8861,PDLC,0.8861,PDLC,0.5540894588297356
PQLR06,Quiruelas,PQ,PDLC,0.0095,0.1243,0.8662,PDLC,0.8662,PDLC,0.6172275193335539
PQLR07,Quiruelas,PQ,PDLC,0.0098,0.1935,0.7967,PDLC,0.7967,PDLC,0.7851431400744863
PQLR08,Quiruelas,PQ,PDLC,0.0087,0.1225,0.8688,PDLC,0.8688,PDLC,0.6069029046596193
PQLR10,Quiruelas,PQ,PDLC,0.011,0.1168,0.8722,PDLC,0.8722,PDLC,0.6054612896973154
PQLR11,Quiruelas,PQ,PDLC,0.0111,0.0656,0.9233,PDLC,0.9233,PDLC,0.4361923558802798
PQLR12,Quiruelas,PQ,PDLC,0.0071,0.3138,0.6791,PDLC,0.6791,uncertain,0.9545234068565298
PQLR13,Quiruelas,PQ,PDLC,0.0123,0.2212,0.7666,PDLC,0.7666,PDLC,0.8535195372845328
PQLR14,Quiruelas,PQ,PDLC,0.0107,0.3182,0.6712,PDLC,0.6712,uncertain,0.9818199201736697
PQLR15,Quiruelas,PQ,PDLC,0.0088,0.2667,0.7246,PDLC,0.7246,uncertain,0.9054152221788176
PQLR16,Quiruelas,PQ,PDLC,0.0116,0.3645,0.6239,PDLC,0.6239,uncertain,1.0299348955373901
PQLR17,Quiruelas,PQ,PDLC,0.0063,0.412,0.5817,PDLC,0.5817,uncertain,1.027808060917103
PQLR18,Quiruelas,PQ,PDLC,0.0146,0.022,0.9634,PDLC,0.9634,PDLC,0.26199326173956466
PQLR19,Quiruelas,PQ,PCM,0.0137,0.5835,0.4028,PCM,0.5835,uncertain,1.0667111436627437
PQLR20,Quiruelas,PQ,PDLC,0.013,0.065,0.922,PDLC,0.922,PDLC,0.4457943094035537
PQLR21,Quiruelas,PQ,PDLC,0.021,0.0235,0.9556,PDLC,0.9556,PDLC,0.3069315783227585
PQLR22,Quiruelas,PQ,PDLC,0.0059,0.138,0.8561,PDLC,0.8561,PDLC,0.6298855264065607
VH/3C/21,V_Higueras,VdH,PDLC,0.0216,0.0193,0.9591,PDLC,0.9591,PDLC,0.2872101993383867
VH/3C/23,V_Higueras,VdH,PDLC,0.0299,0.0159,0.9542,PDLC,0.9542,PDLC,0.31094339898868095
VH/3C/26,V_Higueras,VdH,PDLC,0.0325,0.0303,0.9372,PDLC,0.9372,PDLC,0.40120542178042434
VH/3C/27,V_Higueras,VdH,PDLC,0.0271,0.0144,0.9585,PDLC,0.9585,PDLC,0.287778856689531
VH/3C/28,V_Higueras,VdH,PDLC,0.0065,0.0257,0.9678,PDLC,0.9678,PDLC,0.22867309578251588
VH/3C/29,V_Higueras,VdH,PCM,0.0114,0.7335,0.2551,PCM,0.7335,uncertain,0.9043233695646687
VH/3C/30,V_Higueras,VdH,PDLC,0.0071,0.0073,0.9856,PDLC,0.9856,PDLC,0.12311864121224719
VH/3C/31,V_Higueras,VdH,PDLC,0.1676,0.0075,0.8249,PDLC,0.8249,PDLC,0.7139131763663045
VH/3C/32,V_Higueras,VdH,PDLC,0.0111,0.3511,0.6378,PDLC,0.6378,uncertain,1.0160727220152381
