feature,importance
As,0.12879024083376917
V,0.06133128903580566
Mo,0.06108986857691767
Ca,0.05588185255655843
Ta,0.054573681428009065
Cr,0.04877735782053501
Ba,0.0357363511516885
K,0.018614919468125334
Sr,0.014883752309275553
Zr,0.012738298715390563
P,0.011370020264045029
Zn,0.011208384214919893
Sn,0.01087818501458442
S,0.009827521559650026
Ti,0.007392772352319319
Sb,0.007167416044673794
Ni,0.006454604010751697
Rb,0.006364679391920605
Cu,0.006211278642347608
Se,0.00500088929879439
Hg,0.004983749995499197
W,0.00435025692652661
Fe,0.004149019928778928
Cl,0.0036915247045100404
Al,0.002460522073934263
Sc,0.002193004774717812
Si,0.002005565554580028
Ag,0.0018483100591031162
Mn,0.0017383175680200952
Au,0.0016903905730662606
Pd,0.0016037730581704675
Ru,0.0014723240396068774
Br,0.001444823482660481
Co,0.001425315272318232
Tl,0.0013732263745394858
Cd,0.0012610297239399769
Pb,0.0012582419598564554
Ga,0.0012535573983089067
Th,0.001189341685329755
Nb,0.0011630571326709835
Te,0.0011210395846653607
Y,0.0008760397090036501
In,0.0008478780932517906
Ge,0.0006335585517915041
