feature,aliste_importance,can_tintorer_importance,encinasola_importance,avg_importance
Ca,0.05588185255655843,0.19935827916009208,0.10637168748836424,0.12053727306833824
As,0.12879024083376917,0.023218902320724637,0.08492054834063777,0.07897656383171052
V,0.06133128903580566,0.004830796417195142,0.07461698947463753,0.046926358309212775
Ba,0.0357363511516885,0.0791827436997593,0.023323033618582335,0.04608070949001005
Ta,0.054573681428009065,0.0019969854500759654,0.0433405563344509,0.03330374107084531
Mo,0.06108986857691767,0.006952047472653023,0.02736043019135934,0.03180078208031001
Sr,0.014883752309275553,0.06053611811039518,0.014439682249775017,0.02995318422314858
K,0.018614919468125334,0.013596249692192783,0.05602899833352929,0.029413389164615805
Cr,0.04877735782053501,0.020483262711012327,0.0163983262876685,0.028552982273071945
Cu,0.006211278642347608,0.031290410196210705,0.030930991889493987,0.02281089357601743
Se,0.00500088929879439,0.005774702142246414,0.03072767626948169,0.013834422570174164
Ti,0.007392772352319319,0.017370305767731343,0.016515478787614772,0.013759518969221812
S,0.009827521559650026,0.004407469833810251,0.023889456993615922,0.012708149462358731
Zn,0.011208384214919893,0.014123299813505335,0.00618440674885674,0.010505363592427321
Zr,0.012738298715390563,0.009158189134338307,0.004264016034086093,0.008720167961271655
Sb,0.007167416044673794,0.011687471480852299,0.0050574090549101855,0.007970765526812093
Cl,0.0036915247045100404,0.014957086572175685,0.004409565122143795,0.00768605879960984
Sn,0.01087818501458442,0.007474812343102892,0.003322460800370218,0.00722515271935251
P,0.011370020264045029,0.007856097761834694,0.0018512455825575318,0.007025787869479085
Fe,0.004149019928778928,0.003906205521857779,0.010443733782004179,0.006166319744213629
Rb,0.006364679391920605,0.003365830624940259,0.00847030115596173,0.006066937057607531
Ni,0.006454604010751697,0.0038474189151114584,0.003127919567399462,0.004476647497754206
W,0.00435025692652661,0.006223912847680069,0.0010625697484489076,0.0038789131742185293
Al,0.002460522073934263,0.0027634024743154596,0.006030153277292874,0.0037513592751808656
Ag,0.0018483100591031162,0.0045393812842160165,0.003122816929176204,0.003170169424165112
Si,0.002005565554580028,0.0023187796825447343,0.003456801867591653,0.0025937157015721384
Hg,0.004983749995499197,0.0004411293415300851,0.001034098508258598,0.00215299261509596
Sc,0.002193004774717812,0.002816105901630694,0.0010677985043298468,0.002025636393559451
Au,0.0016903905730662606,0.002585829902462984,0.0016029315408165503,0.001959717338781932
Mn,0.0017383175680200952,0.0009123050573456425,0.002781631721426913,0.0018107514489308838
Tl,0.0013732263745394858,0.0019553108903990718,0.0018727507254988238,0.0017337626634791271
Ga,0.0012535573983089067,0.002150919335744023,0.001127430912126836,0.001510635882059922
Nb,0.0011630571326709835,0.002338724539719638,0.0007996222155487332,0.001433801295979785
Pd,0.0016037730581704675,0.0008697294917738883,0.0016372482216674988,0.0013702502572039517
Cd,0.0012610297239399769,0.0010182099473213376,0.0018019088081678246,0.0013603828264763798
Co,0.001425315272318232,0.000886898412835139,0.0017636215253113599,0.0013586117368215769
Te,0.0011210395846653607,0.0015758503299253474,0.001141654796439791,0.001279514903676833
Br,0.001444823482660481,0.0015809496993509286,0.000782991869410734,0.0012695883504740479
Ru,0.0014723240396068774,0.0010898438677077126,0.0012244882014614926,0.0012622187029253608
In,0.0008478780932517906,0.00161413776793811,0.001284512537495129,0.0012488427995616766
Th,0.001189341685329755,0.0010781561507621394,0.0008636611206540169,0.001043719652248637
Ge,0.0006335585517915041,0.0014717505313762542,0.0007525900099520358,0.0009526330310399314
Y,0.0008760397090036501,0.0007832762005573176,0.0007101339836754875,0.0007898166310788183
Pb,0.0012582419598564554,0.0002372359578439563,0.00022153622020009965,0.0005723380459668371
